title,country,type,rating,release_year,seasons,genre
"Power Rangers Samurai: Christmas Together, Friends Forever (Christmas Special)",United States,Movie,TV-Y7,2011,0,Movies
Power Rangers Samurai: Clash of the Red Rangers,United States,Movie,TV-Y7,2011,0,Children & Family Movies
Power Rangers Samurai: Party Monsters (Halloween Special),United States,Movie,TV-Y7,2011,0,Movies
Power Rangers Super Megaforce,,TV Show,TV-Y7,2014,1,Kids' TV
Power Rangers Super Megaforce: The Legendary Battle (Extended),United States,Movie,TV-Y7,2014,0,Movies
Power Rangers Super Samurai,,TV Show,TV-Y7,2012,1,Kids' TV
Power Rangers Super Samurai: Stuck on Christmas,United States,Movie,TV-Y7,2012,0,Children & Family Movies
Power Rangers Super Samurai: Trickster Treat,United States,Movie,TV-Y7,2012,0,Movies
Power Rangers Time Force,United States,TV Show,TV-Y7,2001,1,Kids' TV
Power Rangers Turbo,United States,TV Show,TV-Y7,1997,1,Kids' TV
Power Rangers Wild Force,United States,TV Show,TV-Y7,2002,1,Kids' TV
Power Rangers Zeo,United States,TV Show,TV-Y7,1996,1,Kids' TV
Power Rangers: Megaforce,United States,TV Show,TV-Y7,2013,1,Kids' TV
Power Rangers: Megaforce: Raising Spirits,United States,Movie,TV-Y7,2013,0,Children & Family Movies
Power Rangers: Megaforce: The Robo Knight Before Christmas,United States,Movie,TV-Y7,2013,0,Children & Family Movies
Prague,India,Movie,TV-MA,2013,0,Dramas
Prelude to War,United States,Movie,TV-14,1942,0,Classic Movies
Premachi Goshta,India,Movie,TV-14,2013,0,International Movies
Prescription Thugs,United States,Movie,NR,2015,0,Documentaries
Primal Fear,United States,Movie,R,1996,0,Dramas
Prince Charming,Hong Kong,Movie,TV-14,1984,0,Comedies
Prince Jai Aur Dumdaar Viru,,TV Show,TV-Y,2017,1,Kids' TV
Princess Cyd,United States,Movie,TV-MA,2017,0,Dramas
Professor Mack,United States,Movie,TV-MA,2018,0,Comedies
Prohibition: A Film by Ken Burns and Lynn Novick,United States,TV Show,TV-PG,2011,1,Crime TV Shows
Prosecuting Evil: The Extraordinary World of Ben Ferencz,Canada,Movie,TV-MA,2019,0,Documentaries
Psiconautas,Argentina,TV Show,TV-MA,2016,2,International TV Shows
Pukar,India,Movie,TV-14,2000,0,Action & Adventure
Pulp Fiction,United States,Movie,R,1994,0,Classic Movies
Punjab 1984,Canada,Movie,TV-14,2014,0,Dramas
Pusher,United Kingdom,Movie,R,2012,0,Action & Adventure
Pyaar Ka Punchnama,India,Movie,TV-14,2011,0,Comedies
Pyaar Tune Kya Kiya,India,TV Show,TV-14,2014,3,International TV Shows
Q Ball,United States,Movie,TV-MA,2019,0,Documentaries
QuÃ© pena tu serie,United States,TV Show,TV-MA,2015,1,International TV Shows
Quantum of Solace,United Kingdom,Movie,PG-13,2008,0,Action & Adventure
Queen of No Marriage,Taiwan,TV Show,TV-MA,2009,1,International TV Shows
Queen of the Desert,United States,Movie,PG-13,2015,0,Dramas
Queens of Comedy,,TV Show,TV-MA,2017,1,International TV Shows
Queens vs. Kings,,TV Show,TV-14,2018,1,Stand-Up Comedy & Talk Shows
R.L. Stine's Mostly Ghostly,United States,Movie,PG,2008,0,Children & Family Movies
Rab Se Sohna Isshq,,TV Show,TV-14,2012,1,International TV Shows
Race to Witch Mountain,United States,Movie,PG,2009,0,Children & Family Movies
Rachel Getting Married,United States,Movie,R,2008,0,Dramas
Radical: the Controversial Saga of Dada Figueiredo,Brazil,Movie,TV-MA,2013,0,Documentaries
Radiopetti,India,Movie,TV-PG,2015,0,Dramas
Raging Bull,United States,Movie,R,1980,0,Classic Movies
Rahasya,India,Movie,TV-14,2015,0,Dramas
Raiders!: The Story of the Greatest Fan Film Ever Made,United States,Movie,NR,2015,0,Documentaries
Railroad Tigers,China,Movie,TV-14,2016,0,Action & Adventure
Raja Hindustani,India,Movie,TV-14,1996,0,Dramas
Rajnigandha,India,Movie,TV-PG,1974,0,Comedies
Ralph Breaks the Internet: Wreck-It Ralph 2,United States,Movie,PG,2018,0,Children & Family Movies
Ram Teri Ganga Maili,India,Movie,TV-14,1985,0,Classic Movies
Ramayan,India,TV Show,TV-14,2012,1,International TV Shows
Ramen Shop,Singapore,Movie,TV-PG,2018,0,Dramas
Ramji Londonwaley,India,Movie,TV-14,2005,0,Comedies
Rampant,South Korea,Movie,TV-MA,2018,0,Action & Adventure
Ranbhool,India,Movie,TV-MA,2010,0,Horror Movies
Rangreza,Pakistan,Movie,TV-14,2017,0,Dramas
Rats,United States,Movie,NR,2016,0,Documentaries
Razia Sultan,India,TV Show,TV-14,2015,1,International TV Shows
Reaction,Egypt,Movie,TV-14,2011,0,Dramas
Ready,India,Movie,TV-PG,2011,0,Comedies
Reality of Dream,,TV Show,TV-MA,2015,1,International TV Shows
Rebel Without a Cause,United States,Movie,PG-13,1955,0,Classic Movies
Rebelde,Mexico,TV Show,TV-14,2004,1,International TV Shows
Recall,Canada,Movie,TV-MA,2018,0,Dramas
Rectify,United States,TV Show,TV-MA,2016,4,Crime TV Shows
Red Christmas,Australia,Movie,TV-MA,2016,0,Horror Movies
Red Dawn,United States,Movie,PG-13,1984,0,Action & Adventure
Red Oleanders Raktokarobi,India,Movie,TV-14,2017,0,Dramas
Red Trees,United Kingdom,Movie,TV-PG,2017,0,Documentaries
Red vs. Blue,United States,TV Show,NR,2015,13,TV Action & Adventure
Refugee,,Movie,TV-PG,2016,0,Documentaries
Regatta,Egypt,Movie,TV-MA,2015,0,Action & Adventure
Reggie Yates Outside Man,United Kingdom,TV Show,TV-MA,2017,2,British TV Shows
Reincarnated,United States,Movie,R,2012,0,Documentaries
Rembat,Malaysia,Movie,TV-PG,2015,0,Action & Adventure
Remember,Canada,Movie,R,2015,0,Action & Adventure
Remember Me,United States,Movie,PG-13,2010,0,Dramas
Rememory,United Kingdom,Movie,PG-13,2017,0,Dramas
Republic of Doyle,Canada,TV Show,TV-14,2014,6,Crime TV Shows
Resident Evil: Afterlife,Germany,Movie,R,2010,0,Action & Adventure
Residente,United States,Movie,TV-MA,2017,0,Documentaries
Restless Creature: Wendy Whelan,United States,Movie,TV-MA,2016,0,Documentaries
Return To The 36th Chamber,Hong Kong,Movie,R,1980,0,Action & Adventure
Revelations,India,Movie,NR,2016,0,Dramas
Revenge,,TV Show,TV-MA,2017,1,Crime TV Shows
Revenge of the Green Dragons,Hong Kong,Movie,R,2014,0,Action & Adventure
Revolting Rhymes,United Kingdom,TV Show,TV-PG,2017,1,British TV Shows
Revolutionary Road,United States,Movie,R,2008,0,Dramas
Rezeta,Mexico,Movie,NR,2012,0,Dramas
"Rica, Famosa, Latina",United States,TV Show,TV-MA,2016,4,International TV Shows
Righteous Kill,United States,Movie,R,2008,0,Dramas
Ringan,India,Movie,TV-14,2015,0,Dramas
Ripper Street,United Kingdom,TV Show,TV-MA,2017,5,British TV Shows
Rise of the Zombie,India,Movie,TV-MA,2013,0,Horror Movies
Rishta.com,India,TV Show,TV-14,2010,1,International TV Shows
Rivaaz,India,Movie,TV-MA,2011,0,Dramas
Road to Sangam,India,Movie,TV-14,2010,0,Dramas
Road to Yesterday,Nigeria,Movie,TV-14,2015,0,Dramas
Roberto Saviano: Writing Under Police Protection,Italy,Movie,TV-14,2016,0,Documentaries
Robin Hood: The Rebellion,United Kingdom,Movie,TV-14,2018,0,Action & Adventure
Robotech,United States,TV Show,TV-MA,1985,1,Anime Series
Rocky,United States,Movie,PG,1976,0,Action & Adventure
Rocky II,United States,Movie,PG,1979,0,Dramas
Rocky III,United States,Movie,PG,1982,0,Dramas
Rocky IV,United States,Movie,PG,1985,0,Dramas
Rocky V,United States,Movie,PG-13,1990,0,Dramas
Roger Corman's Death Race 2050,United States,Movie,R,2017,0,Action & Adventure
Roh's Beauty,Egypt,Movie,TV-MA,2014,0,Dramas
Roll Red Roll,United States,Movie,TV-MA,2018,0,Documentaries
Rolling Papers,United States,Movie,TV-MA,2015,0,Documentaries
Romeo Ranjha,India,Movie,TV-14,2014,0,Action & Adventure
Room,Ireland,Movie,R,2015,0,Dramas
Room for Rent,Canada,Movie,TV-MA,2017,0,Comedies
Room on the Broom,United Kingdom,Movie,TV-Y7,2012,0,Children & Family Movies
Roonpi Secret Love,Thailand,TV Show,TV-14,2016,3,International TV Shows
Roots,,Movie,TV-PG,2016,0,Documentaries
Rosemary's Baby,United States,Movie,R,1968,0,Classic Movies
Rounders,United States,Movie,R,1998,0,Dramas
Royal Pains,United States,TV Show,TV-PG,2016,8,TV Comedies
Rubi,Mexico,TV Show,TV-PG,2004,1,International TV Shows
Rukh,India,Movie,TV-MA,2017,0,Dramas
Rumble,Mexico,Movie,TV-MA,2016,0,Action & Adventure
Rumble in the Bronx,Hong Kong,Movie,R,1995,0,Action & Adventure
Rumor Has It,United States,Movie,PG-13,2005,0,Comedies
Run,India,Movie,TV-14,2004,0,Action & Adventure
Runaway Bride,United States,Movie,PG,1999,0,Comedies
Running for Grace,United States,Movie,TV-14,2018,0,Dramas
Running Out Of Time,United States,Movie,TV-14,2018,0,Thrillers
Rurouni Kenshin,Japan,TV Show,TV-14,1998,3,Anime Series
Russell Madness,United States,Movie,PG,2015,0,Children & Family Movies
Russell Peters vs. the World,United States,TV Show,NR,2013,1,Docuseries
Russell Peters: Notorious,United States,Movie,NR,2013,0,Stand-Up Comedy
Rustom,India,Movie,TV-14,2016,0,Dramas
S Is for Stanley,Italy,Movie,TV-MA,2016,0,Documentaries
S.W.A.T.,United States,Movie,PG-13,2003,0,Action & Adventure
Saath Saath,India,Movie,TV-14,1982,0,Dramas
Sacro GRA,Italy,Movie,TV-MA,2013,0,Documentaries
Sadece Sen,Turkey,Movie,TV-MA,2014,0,Dramas
Sadie's Last Days on Earth,Canada,Movie,TV-14,2016,0,Comedies
Sadma,India,Movie,TV-14,1983,0,Dramas
Sadqay Tumhare,Pakistan,TV Show,TV-PG,2014,1,International TV Shows
Saeed Mirza: The Leftist Sufi,India,Movie,TV-MA,2016,0,Documentaries
Safety Not Guaranteed,United States,Movie,R,2012,0,Comedies
Saheb Bibi Golaam,India,Movie,TV-MA,2016,0,Dramas
Sairat,India,Movie,TV-14,2016,0,Dramas
Sakhi,India,Movie,TV-PG,2007,0,Dramas
Salem: His Sister's Father,Egypt,Movie,TV-14,2014,0,Dramas
Samantaral,India,Movie,TV-MA,2017,0,Dramas
Samarppanam,India,Movie,TV-PG,2017,0,Dramas
Sameer Abu Alneel,Egypt,Movie,TV-14,2013,0,Comedies
Samson,South Africa,Movie,PG-13,2018,0,Action & Adventure
Samudri Lootere,,Movie,TV-Y,2018,0,Children & Family Movies
San Pietro,United States,Movie,TV-14,1945,0,Classic Movies
Sanai Choughade,India,Movie,TV-14,2008,0,Comedies
Sangam,India,Movie,TV-14,1964,0,Classic Movies
Santa Claws,United States,Movie,TV-PG,2014,0,Children & Family Movies
Santa's Apprentice,Australia,Movie,TV-G,2010,0,Children & Family Movies
Sarah's Key,France,Movie,PG-13,2010,0,Dramas
Sardaar ji,Canada,Movie,TV-14,2015,0,Comedies
Sardaarji 2,Australia,Movie,TV-PG,2016,0,Action & Adventure
Sarivar Sari,India,Movie,TV-14,2005,0,Dramas
Sarvopari Palakkaran,India,Movie,TV-14,2017,0,Dramas
Sat Sri Akal,India,Movie,TV-14,2008,0,Dramas
Satan & Adam,United States,Movie,TV-MA,2018,0,Documentaries
Satrangi,,TV Show,TV-PG,2014,1,Docuseries
Satrangi Re,India,Movie,TV-14,2012,0,Dramas
Satte Pe Satta,India,Movie,TV-14,1982,0,Comedies
Saturday Church,United States,Movie,TV-MA,2017,0,Dramas
Savage Dog,United States,Movie,TV-MA,2017,0,Action & Adventure
Savage Raghda,Egypt,Movie,TV-MA,2018,0,Comedies
Save Our Shelter,United States,TV Show,TV-G,2015,1,Reality TV
Saving Mr. Banks,United States,Movie,PG-13,2013,0,Comedies
Saving ZoÃ«,United States,Movie,R,2019,0,Dramas
Say When,United States,Movie,R,2014,0,Comedies
Scales: Mermaids Are Real,United States,Movie,PG,2017,0,Children & Family Movies
Scandal,United States,TV Show,TV-14,2018,7,Crime TV Shows
Scandal in Sorrento,Italy,Movie,TV-PG,1955,0,Classic Movies
Scary Movie,United States,Movie,R,2000,0,Comedies
Scary Movie 5,United States,Movie,PG-13,2013,0,Comedies
Schindler's List,United States,Movie,R,1993,0,Classic Movies
School Daze,United States,Movie,R,1988,0,Comedies
Scooby-Doo on Zombie Island,United States,Movie,TV-PG,1998,0,Children & Family Movies
Scott Pilgrim vs. the World,United States,Movie,PG-13,2010,0,Action & Adventure
Scream 2,United States,Movie,R,1997,0,Horror Movies
Scream 3,United States,Movie,R,2000,0,Horror Movies
Seal Team Six: The Raid on Osama Bin Laden,United States,Movie,TV-MA,2012,0,Action & Adventure
Searching for Bobby Fischer,United States,Movie,PG,1993,0,Children & Family Movies
Searching for Sugar Man,Sweden,Movie,PG-13,2012,0,Documentaries
Season of the Witch,United States,Movie,PG-13,2011,0,Action & Adventure
Secret,Hong Kong,Movie,TV-PG,2007,0,Dramas
Secret Affair,South Korea,TV Show,TV-14,2014,1,International TV Shows
Secret in Their Eyes,United States,Movie,PG-13,2015,0,Dramas
Secrets of Althorp - The Spencers,United States,Movie,TV-PG,2013,0,Documentaries
Secrets of Chatsworth,United States,Movie,TV-PG,2013,0,Documentaries
Secrets of Henry VIII's Palace: Hampton Court,United States,Movie,TV-PG,2013,0,Documentaries
Secrets of Her Majesty's Secret Service,United Kingdom,Movie,TV-PG,2014,0,Documentaries
Secrets of Highclere Castle,United States,Movie,TV-PG,2013,0,Documentaries
Secrets of Scotland Yard,United Kingdom,Movie,TV-14,2013,0,Documentaries
Secrets of Selfridges,United States,Movie,TV-PG,2014,0,Documentaries
Secrets of the Tower of London,United Kingdom,Movie,TV-PG,2013,0,Documentaries
Secrets of Underground London,United Kingdom,Movie,TV-PG,2014,0,Documentaries
Secrets of Westminster,United States,Movie,TV-PG,2014,0,Documentaries
Sen Kimsin?,Turkey,Movie,TV-14,2012,0,Comedies
Senna,United Kingdom,Movie,PG-13,2010,0,Documentaries
Sensitive Skin,Canada,TV Show,TV-MA,2016,1,TV Comedies
"Septiembre, un llanto en silencio",Guatemala,Movie,TV-MA,2017,0,Dramas
Servant of the People,Ukraine,TV Show,TV-14,2015,1,International TV Shows
Set Up,United States,Movie,R,2011,0,Action & Adventure
Sex and the City 2,United States,Movie,R,2010,0,Comedies
Sex and the City: The Movie,United States,Movie,R,2008,0,Comedies
Sex Doll,United Kingdom,Movie,UR,2016,0,Dramas
"Sexo, Pudor y Lagrimas",Mexico,Movie,R,1999,0,Comedies
SGT. Will Gardner,United States,Movie,TV-MA,2019,0,Dramas
Shadow of Truth,Israel,TV Show,TV-MA,2016,1,Crime TV Shows
Shahanpan Dega Deva,India,Movie,TV-14,2011,0,Comedies
Shaka Zulu,Italy,TV Show,TV-14,1986,1,TV Dramas
Shakti: The Power,India,Movie,TV-MA,2002,0,Dramas
Shanghai,India,Movie,TV-14,2012,0,Dramas
Shararat,India,Movie,TV-PG,2002,0,Comedies
Shark Busters,Hong Kong,Movie,TV-14,2002,0,Dramas
Shark Night,United States,Movie,PG-13,2011,0,Horror Movies
Shaurya: It Takes Courage to Make Right... Right,India,Movie,TV-14,2008,0,Dramas
She Did That,United States,Movie,TV-PG,2019,0,Documentaries
Shelter,United States,Movie,R,2010,0,Horror Movies
Sherlock,United Kingdom,TV Show,TV-14,2017,4,British TV Shows
Sherlock Holmes,United States,Movie,PG-13,2009,0,Action & Adventure
Shiva,India,Movie,TV-MA,1990,0,Action & Adventure
Shopkins: Chef Club,United States,Movie,TV-Y,2016,0,Movies
Shopkins: Wild,Australia,Movie,TV-Y,2018,0,Movies
Shopkins: World Vacation,Australia,Movie,TV-Y,2017,0,Movies
Shorgul,India,Movie,TV-14,2016,0,Dramas
Short Term 12,United States,Movie,R,2013,0,Dramas
Shorts,United States,Movie,PG,2009,0,Children & Family Movies
SHOT! The Psycho-Spiritual Mantra of Rock,United Kingdom,Movie,TV-MA,2016,0,Documentaries
Shuddhi,India,Movie,TV-14,2017,0,Dramas
Shutter,Thailand,Movie,TV-MA,2004,0,Horror Movies
Sicilian Ghost Story,Italy,Movie,TV-MA,2017,0,Dramas
Sid the Science Kid,United States,TV Show,TV-Y,2008,1,Kids' TV
Siddhant,India,Movie,TV-G,2014,0,Dramas
Silencer,United States,Movie,TV-MA,2018,0,Action & Adventure
Silent Hill: Revelation,Canada,Movie,R,2012,0,Horror Movies
Silicon Cowboys,United States,Movie,TV-PG,2016,0,Documentaries
Silver Spoon,Russia,TV Show,TV-MA,2015,2,Crime TV Shows
Sin senos no hay paraÃ­so,Colombia,TV Show,TV-14,2008,1,International TV Shows
Sin Senos sÃ­ Hay ParaÃ­so,United States,TV Show,TV-MA,2018,3,International TV Shows
Singh Saab the Great,India,Movie,TV-14,2013,0,Action & Adventure
Single,Indonesia,Movie,TV-PG,2015,0,Comedies
Singularity,Switzerland,Movie,PG-13,2017,0,Action & Adventure
Sinister Circle,Peru,Movie,TV-MA,2017,0,Horror Movies
Siren,United States,Movie,TV-MA,2016,0,Horror Movies
Sister Code,United States,Movie,R,2015,0,Comedies
Skin Trade,Thailand,Movie,R,2014,0,Action & Adventure
Skin Wars,United States,TV Show,TV-14,2016,3,Reality TV
Skin Wars: Fresh Paint,United States,TV Show,TV-14,2016,1,Reality TV
Skiptrace,China,Movie,PG-13,2016,0,Action & Adventure
Sky on Fire,China,Movie,TV-MA,2016,0,Action & Adventure
Skydancers,United States,Movie,TV-G,2014,0,Documentaries
Skyline,United States,Movie,PG-13,2010,0,Action & Adventure
Sleeping with Other People,United States,Movie,R,2015,0,Comedies
Sleepover,United States,Movie,PG,2004,0,Comedies
Sling Blade,United States,Movie,R,1996,0,Dramas
Sliver,United States,Movie,R,1993,0,Thrillers
Slobby's World,United States,TV Show,TV-MA,2018,1,Reality TV
Slow West,United Kingdom,Movie,R,2015,0,Action & Adventure
Small Soldiers,United States,Movie,PG-13,1998,0,Action & Adventure
Smart People,United States,Movie,R,2008,0,Comedies
Smash: Motorized Mayhem,United States,Movie,TV-MA,2017,0,Documentaries
SMOSH: The Movie,United States,Movie,PG-13,2015,0,Comedies
Sniper: Special Ops,United States,Movie,R,2016,0,Action & Adventure
Socha Na Tha,India,Movie,TV-14,2005,0,Comedies
Social Animals,United States,Movie,TV-MA,2018,0,Documentaries
Soekarno,Indonesia,Movie,TV-MA,2013,0,Dramas
Solo Con Tu Pareja,Mexico,Movie,NR,1991,0,Comedies
Solo: A Star Wars Story,United States,Movie,PG-13,2018,0,Action & Adventure
Solo: A Star Wars Story (Spanish Version),United States,Movie,PG-13,2018,0,Action & Adventure
Solomon Kane,Czech Republic,Movie,R,2009,0,Action & Adventure
Some Freaks,United States,Movie,TV-MA,2017,0,Dramas
Something's Gotta Give,United States,Movie,PG-13,2003,0,Comedies
Son of a Gun,Australia,Movie,R,2014,0,Action & Adventure
Sons of Ben,United States,Movie,NR,2016,0,Documentaries
Sotus The Series,Thailand,TV Show,TV-MA,2016,1,International TV Shows
Soul Surfer,United States,Movie,PG,2011,0,Dramas
Soul to Keep,United States,Movie,TV-MA,2019,0,Horror Movies
Sour Grapes,United Kingdom,Movie,NR,2016,0,Documentaries
Space Racers,United States,TV Show,TV-Y,2014,1,Kids' TV
Sparkle,United States,Movie,PG,1976,0,Dramas
Spartacus,United States,TV Show,TV-MA,2013,4,TV Action & Adventure
Speech & Debate,United States,Movie,PG-13,2017,0,Comedies
Speed Is My Need,United Kingdom,Movie,TV-14,2019,0,Documentaries
Spider-Man 3,United States,Movie,PG-13,2007,0,Action & Adventure
Spider-Man: Into the Spider-Verse,United States,Movie,PG,2018,0,Action & Adventure
Spitfire: The Plane that Saved the World,United Kingdom,Movie,TV-14,2018,0,Documentaries
Splash and Bubbles,United States,TV Show,TV-Y,2018,2,Kids' TV
Spotlight,United States,Movie,R,2015,0,Dramas
Spring Breakers,United States,Movie,R,2012,0,Comedies
Sprinter,Jamaica,Movie,TV-MA,2018,0,Dramas
Spy Kids,United States,Movie,PG,2001,0,Children & Family Movies
Spy Kids 2: The Island of Lost Dreams,United States,Movie,PG,2002,0,Children & Family Movies
Spy Kids 3: Game Over,United States,Movie,PG,2003,0,Children & Family Movies
Spy Time,Spain,Movie,TV-MA,2015,0,Action & Adventure
St. Agatha,United States,Movie,TV-MA,2018,0,Horror Movies
Staged Killer,United States,Movie,TV-14,2019,0,Thrillers
Standoff,Canada,Movie,R,2015,0,Action & Adventure
Star Men,Canada,Movie,TV-14,2015,0,Documentaries
Star Wars: Episode VIII: The Last Jedi,United States,Movie,PG-13,2017,0,Action & Adventure
Star-Crossed,United States,TV Show,TV-14,2014,1,Romantic TV Shows
Starred Up,United Kingdom,Movie,TV-MA,2013,0,Dramas
Station Horizon,Switzerland,TV Show,TV-MA,2015,1,International TV Shows
Stealing History,United States,Movie,TV-PG,2006,0,Documentaries
Step Brothers,United States,Movie,R,2008,0,Comedies
Step Outside,Egypt,Movie,TV-14,2018,0,Comedies
Stephanie,United States,Movie,R,2017,0,Horror Movies
Sthaniya Sambaad,India,Movie,TV-14,2010,0,Dramas
Still,Thailand,Movie,TV-MA,2010,0,Horror Movies
Stink!,United States,Movie,TV-PG,2015,0,Documentaries
Stoked,United States,TV Show,TV-PG,2010,1,Kids' TV
Stone Age,South Korea,TV Show,TV-Y7,2017,1,Kids' TV
Stonehearst Asylum,United States,Movie,PG-13,2014,0,Horror Movies
Stop at Nothing: The Lance Armstrong Story,Australia,Movie,NR,2014,0,Documentaries
Storage Wars: Northern Treasures,United States,TV Show,TV-MA,2015,1,International TV Shows
Story of an Egg,India,Movie,TV-PG,2017,0,Comedies
Straight Up,United States,Movie,TV-MA,2020,0,Comedies
Strange but True,Canada,Movie,PG-13,2019,0,Dramas
Stranger than Fiction,United States,Movie,PG-13,2006,0,Comedies
Strawberry Shortcake: Berry Bitty Adventures,France,TV Show,TV-Y,2015,1,Kids' TV
Strictly Ballroom,Australia,Movie,PG,1992,0,Classic Movies
Strike a Pose,Netherlands,Movie,TV-MA,2016,0,Documentaries
Stripes,United States,Movie,R,1981,0,Classic Movies
Striptease,United States,Movie,R,1996,0,Comedies
Strong Girl Bong-soon,South Korea,TV Show,TV-14,2017,1,Crime TV Shows
Stronger Than the World,Brazil,Movie,NR,2016,0,Action & Adventure
Strongland,,TV Show,TV-PG,2018,1,Docuseries
Stuart Little 2,United States,Movie,PG,2002,0,Children & Family Movies
Submission,United States,Movie,TV-MA,2019,0,Action & Adventure
Suburra,Italy,Movie,NR,2015,0,Dramas
Suckseed,Thailand,Movie,TV-MA,2011,0,Comedies
Sudani from Nigeria,India,Movie,TV-14,2018,0,Comedies
Suicide (Hitabdut),Israel,Movie,TV-MA,2014,0,International Movies
Suite FranÃ§aise,United Kingdom,Movie,TV-MA,2014,0,Dramas
Suits,South Korea,TV Show,TV-MA,2018,1,International TV Shows
Summer Night,United States,Movie,TV-MA,2019,0,Comedies
Summer of '92,Denmark,Movie,TV-MA,2015,0,Dramas
Sunrise,India,Movie,TV-MA,2014,0,Dramas
Super Bheem,India,TV Show,TV-Y,2019,1,Kids' TV
Super Bheem Bana Vajraveer,India,Movie,TV-Y7,2018,0,Children & Family Movies
Super Dark Times,United States,Movie,TV-MA,2017,0,Dramas
Super Nani,India,Movie,TV-PG,2014,0,Comedies
Super Wings,United States,TV Show,TV-Y,2020,3,Kids' TV
Superbad,United States,Movie,R,2007,0,Comedies
Superfly,United States,Movie,R,1972,0,Action & Adventure
Superman Returns,United States,Movie,PG-13,2006,0,Action & Adventure
SuperNature: Wild Flyers,United Kingdom,TV Show,TV-PG,2016,1,British TV Shows
Superstar,United States,Movie,PG-13,1999,0,Comedies
Surat Dari Praha,Indonesia,Movie,TV-14,2016,0,Dramas
Surviving R. Kelly Part II: The Reckoning,United States,TV Show,TV-MA,2020,1,Crime TV Shows
Survivors Guide to Prison,United States,Movie,TV-MA,2017,0,Documentaries
Susanne Bartsch: On Top,United States,Movie,TV-MA,2017,0,Documentaries
Sustainable,United States,Movie,TV-G,2016,0,Documentaries
Swami,India,Movie,TV-PG,1977,0,Dramas
Swami Baba Ramdev: The Untold Story,,TV Show,TV-14,2018,1,International TV Shows
Sweeney Todd: The Demon Barber of Fleet Street,United States,Movie,R,2007,0,Dramas
Sweet Virginia,United States,Movie,R,2017,0,Dramas
Swiss Army Man,United States,Movie,R,2016,0,Comedies
Sword Master,China,Movie,TV-MA,2016,0,Action & Adventure
Sword Masters: Two Champions of Shaolin,Hong Kong,Movie,R,1980,0,Action & Adventure
Sym-Bionic Titan,United States,TV Show,TV-PG,2010,1,Kids' TV
Taal,India,Movie,TV-PG,1999,0,Dramas
Tahaan,India,Movie,TV-14,2008,0,Dramas
Take Me Home Tonight,United States,Movie,R,2011,0,Comedies
Taken,France,TV Show,TV-14,2018,2,Crime TV Shows
Tales of the City (1993),United Kingdom,TV Show,TV-MA,1993,1,TV Dramas
Tamanchey,India,Movie,TV-MA,2014,0,Action & Adventure
Tarif de nuit,France,Movie,TV-MA,2015,0,International Movies
Tarzan,United States,Movie,G,1999,0,Children & Family Movies
Tarzan 2,United States,Movie,G,2005,0,Children & Family Movies
Tattah,Egypt,Movie,TV-14,2013,0,Comedies
Tayo the Little Bus Movie: Mission Ace,United States,Movie,TV-Y7,2016,0,Children & Family Movies
Teach Us All,United States,Movie,TV-14,2017,0,Documentaries
Teen Patti,India,Movie,TV-PG,2010,0,Dramas
Teenage Cocktail,United States,Movie,TV-MA,2016,0,Dramas
Teenage Mutant Ninja Turtles,Hong Kong,Movie,PG,2007,0,Children & Family Movies
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,United States,Movie,PG,1991,0,Children & Family Movies
Teenage Mutant Ninja Turtles: The Movie,,Movie,PG,1990,0,Action & Adventure
Tees Maar Khan,India,Movie,TV-PG,2010,0,Comedies
Tellur Aliens,United States,Movie,TV-Y7,2016,0,Children & Family Movies
Temporada de Caza,Argentina,Movie,TV-MA,2017,0,Dramas
Ten Years,Hong Kong,Movie,TV-MA,2015,0,Dramas
Teresa,Mexico,TV Show,TV-PG,2010,1,International TV Shows
Terminator 3: Rise of the Machines,United States,Movie,R,2003,0,Action & Adventure
Terminator Salvation,United States,Movie,PG-13,2009,0,Action & Adventure
Terra,France,Movie,TV-PG,2015,0,Documentaries
Terrifier,United States,Movie,TV-MA,2017,0,Horror Movies
Teshan,India,Movie,TV-PG,2016,0,Comedies
Tezz,United Kingdom,Movie,TV-MA,2012,0,Action & Adventure
Th Eena Meena Deeka Chase Comedy Show,India,TV Show,TV-Y7,2015,1,Kids' TV
Thackeray,India,TV Show,TV-MA,2019,1,TV Shows
That '70s Show,United States,TV Show,TV-14,2005,8,TV Comedies
The 2000s,United States,TV Show,TV-MA,2018,1,Docuseries
The 24 Hour War,United States,Movie,TV-MA,2016,0,Documentaries
The 4th Company,Mexico,Movie,TV-MA,2016,0,Action & Adventure
The Accountant of Auschwitz,Canada,Movie,TV-14,2018,0,Documentaries
The Adderall Diaries,United States,Movie,R,2015,0,Dramas
The Adjusters,,TV Show,TV-PG,2010,2,International TV Shows
The Adventure Club,Canada,Movie,TV-Y7,2016,0,Children & Family Movies
The Adventures of Figaro Pho,Australia,TV Show,TV-Y7,2015,2,Kids' TV
The Adventures of Sharkboy and Lavagirl,United States,Movie,PG,2005,0,Children & Family Movies
The Adventures of Tintin,United States,Movie,PG,2011,0,Children & Family Movies
The Aerial,Argentina,Movie,TV-MA,2007,0,Dramas
The Age of Shadows,South Korea,Movie,TV-MA,2016,0,Action & Adventure
The American President,United States,Movie,PG-13,1995,0,Comedies
The Amityville Horror,United States,Movie,R,2005,0,Horror Movies
